"","hpi_category","status","experiment","culturepoint","total","donor","hpi","powerful","plaus","ultraplaus","low","medpower","medlogpower","medfreq","medofplaus","medofultraplaus","powerbeatin"
"286","96","mock","longcilias",1,2228224,4,96,0.680629505830653,0.818755205939798,0.676603878245634,0.139982335707721,0.0004622561828,-3.33511727132517,8,7.33333333333333,7.66666666666667,0.651986514820772
"287","96","mock","longcilias",2,2228224,4,96,0.467084996840533,0.635701347799862,0.562380173627068,0.0696357278262868,0.00018427830218565,-3.73452579769355,8.66666666666667,6.66666666666667,7,0.403998431037454
"288","96","mock","longcilias",7,2162688,7,96,0.650327740293561,0.761486169063684,0.645988695549242,0.112932609789299,0.0003695114282891,-3.43237212515512,12.3333333333333,11.3333333333333,11.6666666666667,0.590471209901752
"289","96","mock","longcilias",8,1900544,7,96,0.802479711072198,0.803522044214709,0.7098414980132,0.091620083512931,0.00085078322445035,-3.07018108200462,12.3333333333333,12,12.3333333333333,0.733858305832435
"290","96","mock","longcilias",9,2228224,8,96,0.565623115090763,0.708449868594899,0.595674851361443,0.110728544347426,0.0002938060933956,-3.53193920139869,9.33333333333333,8.33333333333333,8.66666666666667,0.531779120950138
"291","96","mock","longcilias",10,2293760,8,96,0.549241856166295,0.754215785435268,0.629198346819196,0.122660173688616,0.0002432058972772,-3.61402589846224,8.33333333333333,7.33333333333333,8,0.519297572544643
"292","96","near","longcilia2",2,3481853,3,96,0.918110270594422,0.949194868364632,0.590436184411002,0.357943313517256,0.002089804271236,-2.67989438752661,7.33333333333333,7.33333333333333,8,0.903729709439198
"293","96","near","longcilia2",3,62297,5,96,0.0293433070613352,0.255935277782237,0.228100871631058,0.0209319870940816,6.50344372843392e-05,-4.18685661317095,30.6666666666667,6.66666666666667,7.66666666666667,0.00823474645649068
"294","96","near","longcilia2",7,3539557,7,96,0.853201968494927,0.930872422735388,0.79628382873902,0.133566432183463,0.0015082247555255,-2.82153393511663,10.3333333333333,10,10.3333333333333,0.826246900388947
"295","96","near","longcilia2",10,3314885,7,96,0.779163078055498,0.947309786010676,0.741960279165039,0.203054706271862,0.0006669713184237,-3.17589284152294,7,7,7.33333333333333,0.771200810887859
"296","96","near","longcilias",3,3029063,4,96,0.476103996516414,0.692867068132951,0.536884838644822,0.153189946858154,0.0001810020330594,-3.74231654700087,7.66666666666667,6.66666666666667,7,0.454695065767863
"297","96","near","longcilias",4,413920,4,96,0.166520100502513,0.437074797062234,0.393493911867027,0.0396115191341322,8.27125841169618e-05,-4.08242841068008,19.6666666666667,7.66666666666667,8,0.120849439505218
"298","96","near","longcilias",5,778077,7,96,0.515720166513083,0.666320942528824,0.597143984464263,0.0665075564500686,0.0002290955744683,-3.63998330017141,12,11.3333333333333,11.3333333333333,0.472561198955887
"299","96","near","longcilias",6,196524,7,96,0.399304919500926,0.468248152897356,0.433280413588162,0.0323573711098899,0.0001211428716487,-3.91670213575674,17.6666666666667,10.6666666666667,10.6666666666667,0.332865197126051
"300","96","near","longcilias",11,1188005,8,96,0.196760114645982,0.407463773300617,0.346354602884668,0.0571436988901562,9.76026130956598e-05,-4.01053855489648,22,6,6.66666666666667,0.162141573478226
"301","96","near","longcilias",12,2579240,8,96,0.133362153192413,0.373925652517796,0.339979218684574,0.0292206231292939,9.25104613997974e-05,-4.03380915297656,24,7.66666666666667,8,0.102358446674214
"302","120","distant","multicilia",1,655360,8,120,0.252809143066406,0.476353454589844,0.448091125488281,0.0232208251953125,9.82914607448038e-05,-4.00748421068468,17,5,5.33333333333333,0.222259521484375
"303","120","distant","multicilia",2,2031616,8,120,0.491815874653478,0.784334736485635,0.660028765278478,0.122489190870716,0.0001914415697683,-3.71796375328473,9.66666666666667,9,9.33333333333333,0.473434448242188
"304","120","distant","multicilia",6,655360,7,120,0.803826904296875,0.910450744628906,0.900558471679688,0.00919952392578125,0.00057309580733995,-3.24177276874693,7,7,7,0.784855651855469
"305","120","infected","multicilia",1,162727,8,120,0.107492917585895,0.342555322718418,0.29932955194897,0.0402821904170789,6.46231419523247e-05,-4.18961193057426,25,6.33333333333333,7,0.0838889674116772
"306","120","infected","multicilia",2,16488,8,120,0.449660359049005,0.715853954391072,0.665332362930616,0.0476103833090733,0.00016885682998685,-3.77248136833757,9.33333333333333,8.33333333333333,8.66666666666667,0.426613294517225
"307","120","infected","multicilia",6,125809,7,120,0.350086241842793,0.574442210016771,0.551272166538165,0.0196965240960504,0.0001274641253985,-3.89461202961254,9.66666666666667,7,7,0.322568337718287
"308","120","infected","multicilia",7,1035494,7,120,0.515026644287654,0.72366232928438,0.707962576316232,0.0133907101344865,0.0002092073991661,-3.67942295957445,11,10,10,0.47250973931283
"309","120","mock","multicilia",4,3866624,8,120,0.688187421378443,0.913438958636785,0.760528564453125,0.152013746358581,0.0005468910967465,-3.26209914677614,9.33333333333333,9,9.33333333333333,0.66525604765294
"310","120","mock","multicilia",5,1966080,8,120,0.893656921386719,0.944827779134115,0.846442159016927,0.0976806640625,0.0013860268518328,-2.85822835595216,9,9,9.33333333333333,0.859868876139323
"311","120","mock","multicilia",8,2490368,7,120,0.807843660053454,0.915213333932977,0.896068372224507,0.0183800145199424,0.0007260919082909,-3.13900840307784,9.33333333333333,8.66666666666667,8.66666666666667,0.786823071931538
"312","120","mock","multicilia",9,2228224,7,120,0.606469098259421,0.824820125804228,0.813932979808134,0.00943756103515625,0.00031436586868945,-3.50256461226531,8,7.66666666666667,7.66666666666667,0.596693599925322
"313","120","near","multicilia",1,3179609,8,120,0.31843852498845,0.592509645053842,0.56424453446949,0.0250634590605323,0.0001119059234042,-3.95114692478824,7.66666666666667,5.33333333333333,5.66666666666667,0.300459270306506
"314","120","near","multicilia",2,1687448,8,120,0.427805182737483,0.682919414405659,0.62756363455348,0.0525776201696289,0.0001495361429988,-3.8252538253474,9.66666666666667,8.33333333333333,8.66666666666667,0.405252191474937
"315","120","near","multicilia",6,2233487,7,120,0.380685896089836,0.617878232557431,0.593215451892042,0.0216562711132861,0.000132730565383,-3.87702905566883,9,7,7,0.360874274173076
"316","120","near","multicilia",7,2831130,7,120,0.590813208860066,0.789212081395061,0.775841801683427,0.0118016481051736,0.00028572279552455,-3.54405510937021,10,9.33333333333333,9.33333333333333,0.56301900654509
"317","168","distant","longcilia2",2,2686976,3,168,0.688606820455412,0.908273092130335,0.565693552901105,0.341344321646341,0.00061343875131565,-3.21222879282953,5.33333333333333,5,6.66666666666667,0.684454569002477
"318","168","distant","longcilia2",3,2228224,5,168,0.481887368594899,0.775230407714844,0.587755091050092,0.18543602438534,0.00018278020434075,-3.73807084148573,6.66666666666667,6,6.66666666666667,0.476298163918888
"319","168","distant","longcilia2",6,2424832,5,168,0.561187331740921,0.820703042520059,0.790312071104307,0.0289731412320524,0.0002906266454374,-3.53666457091981,9.66666666666667,9,9,0.542593878668708
"320","168","distant","longcilia2",7,3735552,7,168,0.604925590648986,0.837392171223958,0.670001916718065,0.165761311848958,0.0003933678672183,-3.40520111889491,9,8.33333333333333,9,0.589833309775905
"321","168","distant","longcilia2",10,1245184,7,168,0.537361546566612,0.828426160310444,0.731198762592516,0.0958380448190789,0.00023579244589195,-3.62747011255914,6.33333333333333,6,6.33333333333333,0.532033819901316
"322","168","distant","longcilias",3,655360,4,168,0.248133850097656,0.372090148925781,0.325434875488281,0.0411788940429687,0.0001169848837889,-3.93187025202507,24.3333333333333,7,7.33333333333333,0.144171142578125
"323","168","distant","longcilias",4,2555904,4,168,0.431406656901042,0.630835508688902,0.588410206330128,0.0390730637770433,0.0001623227799427,-3.78962052817631,9,7,7,0.384006598056891
"324","168","distant","longcilias",5,2621440,7,168,0.757942581176758,0.820364761352539,0.631042098999023,0.187666702270508,0.0007001706399023,-3.15479610436185,12.6666666666667,12.3333333333333,12.6666666666667,0.688765716552734
"325","168","distant","longcilias",6,2424832,7,168,0.761905567066089,0.788657935889992,0.697377797719595,0.0898350896062078,0.00091413638438095,-3.03898900496073,12.6666666666667,12.3333333333333,12.6666666666667,0.687585366738809
"326","168","distant","longcilias",11,2490368,8,168,0.262012682462993,0.506454869320518,0.476790980288857,0.0257833380448191,9.97298848233185e-05,-4.00117468252022,14.3333333333333,5,5,0.241010565506785
